university,numFaculty,numDoctoral,country,numStaff,established,numPostgrad,numUndergrad,numStudents
East Carolina University,1804,0,United States,5354,1907,6417,20974,27391
Lenoir Rhyne University,189,0,United States,246,1891,0,1653,1653
University of Exeter,1257,0,England,2020,1922,4615,13335,17950
Florida State University,2150,0,United States,6129,1851,8486,31851,40337
"Minnesota State University, Mankato",600,130,United States,1300,1868,1716,13547,15263
Rochester Institute of Technology,1533,0,United States,2233,1829,2899,14753,17652
OCAD University,102,0,Canada,385,1876,95,3882,3977
University of Southern California,4735,0,United States,10774,1880,20596,17414,38010
University of Ottawa,2879,0,Canada,4057,1848,5230,32630,37860
University of Miami,3027,0,United States,10437,1925,5289,10368,15657
University of Missouri Kansas City,1185,0,United States,2029,1933,5157,9907,15064
Missouri University of Science and Technology,475,0,United States,906,1870,1702,5504,7206
Virginia Commonwealth University,2032,0,United States,11041,1838,6454,23754,30208
University of California Los Angeles,4016,0,United States,26139,1882,12072,27199,39271
California State University Channel Islands,205,0,United States,370,2002,255,3800,4055
Utah State University,880,0,United States,1614,1888,3478,25516,28994
San Francisco State University,1506,0,United States,2010,1899,3895,24395,28290
Ryerson University,1753,0,Canada,1656,1852,2300,33600,35900
University of Nevada Las Vegas,1000,0,United States,3282,1957,6378,22708,29086
University of California Riverside,1638,0,United States,1938,1954,2433,18523,20956
California State University Chico,857,0,United States,954,1887,1192,14728,15920
University of Michigan Flint,430,0,United States,510,1956,1264,6874,8138
University of Wisconsin Claire,479,0,United States,1150,1916,543,10346,10889
California Polytechnic State University,1244,0,United States,1383,1901,1037,17725,18762
University of California Davis,2527,0,United States,21372,1905,7498,25096,32594
El Colegio de Mexico,185,0,Mexico,538,1940,294,77,371
Boston College,1489,0,United States,1368,1863,4928,9826,14754
Loyola University Chicago,784,0,United States,1608,1870,6184,9856,16040
Illinois Wesleyan University,184,0,United States,450,1850,0,2020,2020
University of San Francisco,612,0,United States,506,1855,3728,6071,9799
Nova Southeastern University,2083,0,United States,4319,1964,22060,6397,28457
